사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지지번주소,소재지도로명주소
미스터홍(Mr. hong),2017-07-11,폐업,2018-09-21,커피숍,서울특별시 관악구 신림동 100-14 ,"서울특별시 관악구 복은길 46, 1층 (신림동)"
피그말리온,2017-08-28,폐업,2019-04-12,커피숍,서울특별시 관악구 신림동 123-2 ,"서울특별시 관악구 신림로12길 23, 1층 (신림동)"
별하,2018-01-24,폐업,2018-03-19,커피숍,서울특별시 관악구 신림동 103-267 ,"서울특별시 관악구 서림3길 9, 1층 (신림동)"
47번가 카페#,2018-09-03,영업,,커피숍,서울특별시 관악구 신림동 107-47 ,"서울특별시 관악구 신림로 184, 1층 (신림동)"
0929카페,2018-10-01,영업,,커피숍,서울특별시 관악구 신림동 107-81 ,"서울특별시 관악구 신림로30길 28, 1층 1호 (신림동)"
카페7(cafe7),2018-11-30,영업,,커피숍,서울특별시 관악구 신림동 94-257 ,"서울특별시 관악구 신림로 216-1, 1층 (신림동)"
피그말리온,2019-04-12,영업,,커피숍,서울특별시 관악구 신림동 123-2 ,"서울특별시 관악구 신림로12길 23, 1층 (신림동)"
커피노동자,2019-06-17,영업,,커피숍,서울특별시 관악구 신림동 103-273 ,"서울특별시 관악구 서림길 107, 지하1층 (신림동)"
저스트로맨틱(JUST ROMANTIC),2019-06-18,영업,,커피숍,서울특별시 관악구 신림동 116-23 ,"서울특별시 관악구 신림로 134, 1층 (신림동)"
히포커피 대학동점,2019-07-29,영업,,커피숍,서울특별시 관악구 신림동 127-72 ,"서울특별시 관악구 신림로12길 25, 지하1층 (신림동)"
커피정류장,2019-11-20,영업,,커피숍,서울특별시 관악구 신림동 100-14 ,"서울특별시 관악구 복은길 46, 1층 (신림동)"
카페펠릭스(Felix),2020-05-11,영업,,커피숍,서울특별시 관악구 신림동 96-108 ,"서울특별시 관악구 서림길 23, 1층 (신림동)"
카페천국 신림점,2020-07-07,영업,,커피숍,서울특별시 관악구 신림동 103-267 ,"서울특별시 관악구 서림3길 9, 1층 101호 (신림동)"
서림동커피집,2020-09-16,영업,,커피숍,서울특별시 관악구 신림동 106-6 ,"서울특별시 관악구 신림로32길 12, 1층 (신림동)"
카페토리,2020-12-11,영업,,커피숍,서울특별시 관악구 신림동 99-3 ,"서울특별시 관악구 복은길 53, 1층 103호 (신림동)"
이디야커피 신림신화교점,2020-12-18,영업,,커피숍,서울특별시 관악구 신림동 408-40 ,"서울특별시 관악구 신림로 199, 1층 (신림동)"
